,No.,INSTITUTE NAME AND ADDRESS,DISTRICT,Est. Year,TYPE,ANM,GNM,B.Sc,P.B.Sc,M.Sc,NPM,NPCC,E-mail ID,Phone No.(Office),Phone No.(Principal),Phone No.(FAX),Last Insp. Date,YES/No
12,13.0,"M. M.  Singhi College of Nursing, Hansol Octroi Naka, Nr. Idirabridge, Ahmedabad",Ahmedabad,2003,SFI,40,60,60,30,--,--,--,mmsinghiinstituteofnursing@rediffmail.com,079- 22861951,"7016390038
",079- 22861951,2nd & 3rd July 2018,NO
13,14.0,"Narnarayan Shastri Institute of Nursing, At: Jetalpur, Tal: Dascroi, Dist: Ahmedabad",Ahmedabad,2017,SFI,40,50,50,30,--,--,--,nsingurukul@gmail.com ,9825833001,"9879526636
(T) 9408416400
       989829891      ",,4th &5th June 2018,NO
14,15.0,"Navkar Institute of Nursing, Nr. Galaxy Groung, Vastra, Ahmedabad ",Ahmedabad,2018,SFI,30,30,40,--,--,--,--,navkarinstitute2018@gmail.com,8734033960,9099943702,,24th & 25th May 2018,NO
15,16.0,"Our Lady of Pillar Nursing School, At: Nidhrad, Chekla Road, Ta: Sanand,Dist: Ahmedabad – 382115",Ahmedabad,2015,SFI,20,40,--,--,--,--,--,olopns@gmail.com,02717 222447,"8690210120
(T) 9879746795   ","0265-2370465
",1st & 2nd June 2018,NO
16,17.0,"Panchamrut Institute of Nursing, K P Residency to Abjibapa Ring Road, Nikol, Ahmedabad",Ahmedabad,2018,SFI,--,40,40,--,--,--,--,aewt.2012@gmail.com,886565566,9913094999,,6th & 7th June 2018,NO
17,18.0,"Pushpraj Nursing School, Christian Colony, Opp. CNI Church, Behrampura, Ahmedabad – 380 022",Ahmedabad,2014,SFI,20,--,--,--,--,--,--,pushprajnursingschool@gmail.com, 079 25327522  ,"9327031378
9374581378
9328031378",,27th & 28th June 2018,NO
18,19.0,"Shama General Nursing School, Nr. Pir Kamal Masjid, BRTS Road, Dani Limbda, Ahmedabad - 380028 ",Ahmedabad,2014,SFI,30,50,40,--,--,--,--,shamagnm.26@gmail.com,9033030707,"9106633006
(T) 9687624466 ",,28th & 29th May 2018,NO
19,20.0,"Shantam Institute of Nursing, Karvavati Anneexxe, Nr. Mayur Park Society, Nr. Bhagat Petrol pump, Naroda, A'bad, ",Ahmedabad,2017,SFI,--,30,30,--,--,--,--,shantaminstitutenursing@gmail.com,079 22816405,"9825027882
(T)9824006060 
",,4th & 5th July 2018,NO
20,21.0,"Shrey Institute of Nursing & Allied Science, Plot No. 244/B/Part, Nr. Ambika Party Plot, Opp. AEC, Sola # Road,  Naranpura, Ahmedabad – 13",Ahmedabad,2010,SFI,--,50,50,--,10,--,--,sinasabad2011@gmail.com,"9033016001
9033016002
98253 13230
","9426150696
(T)9925023361
      9429907589 ",079  26565921,2nd & 3rd July 2018,NO
21,22.0,"Shubham Institute of Nursing Science & Research, Kalapinagar, Last Bus Stop, Asrwa, Ahmedabad – 16",Ahmedabad,2010,SFI,40,40,50,--,--,--,--,subhaminstitutenursing@yahoo.in,079 22680311,"9825027882
(T) 9824006060
       9824106060",079 22680311,29th &30th June 2018,NO
22,23.0,"SKUM College of Nursing, Plot No. 709, B/h T.V.Tower, Off Dirve-In Road, Ahmedabad",Ahmedabad,2010,SFI,--,50,60,--,20,--,--,skumcollegeofnursing@gmail.com,"079 26854674
       29296109","9924919672
(T) 9327057575  ",079 26854675 ,23-24/05/2016,NO
23,24.0,"Soham Institute of Nursing, Nr. BRTS Bus Stand, Naroda Road, Krishnanagar, Ahmedabad – 382326",Ahmedabad,2012,SFI,--,40,40,--,--,--,--,soham_instituteofnursing@yahoo.com,"079 22816405  
","9825027882
(T)9824006060
",,05-06/06/2017,NO
24,25.0,"Svaymbhu Institute of Nursing, Svaymbhu Multispeciality Hospital, Vastral Char Rasta, Nr. S.P. Ring Road, Ahmedabad - 382 418",Ahmedabad,2018,SFI,--,50,50,--,--,--,--,svayambhu.nursing@gmail.com,7043532164,"7043532166
(T)8128066694        ",,12th & 13th June 2018,NO
25,26.0,"Urmila Goswami College of Nursing, Shree Monark Education Trust, At: Vahelal, Naroda- Dehgam Road, Tal: Dascroi, Dist: Ahmedabad-382330",Ahmedabad,2018,SFI,--,40,40,--,--,--,--,ugcn.bsc@gmail.com,"02718247138/
                215","9924125030
(T)9824561940",,11th & 12th June 2018,NO
26,27.0,"Victoria Jubillee College of Nursing, Opp. Main Railway Station, Kalupur, Ahmedabad",Ahmedabad,2008,SFI,20,40,35,--,--,--,--,victoriajubilee@gmail.com ,079 22142445,"9408145354
(T)9824002952",079-22112171,29th &30th June 2018,NO
27,28.0,"ANM School, Community Health Centre, Bagsara",Amreli,2010,GOV,20,--,--,--,--,--,--,anm.bagasara@gmail.com,02796-220101 ,,02796 220101,15-16/04/2015,NO
28,29.0,"ANM School, K. K. Hospital, Savarkundla, Dist: Amreli",Amreli,2008,GOV,20,--,--,--,--,--,--,"anm.savarkundla@gmail.com
anmsavarkundla@yahoo.com",02845 235011,,,07-08/05/2014,YES
29,30.0,"School of Nursing, General Hospital, Amreli",Amreli,2009,GOV,--,40,--,--,--,--,--,gnmamreli@gmail.com,"02792 227500
",,02792 222587,02-03/06/2014,YES
30,31.0,"Krishnaben Mukeshbhai Jani School of Nursing, Jeshingpara, Gavadka Road,At: Amreli",Amreli,2014,SFI,30,40,30,30,--,--,--,krishnaschoolofnursing@gmail.com,02792 220849 ,"8780127050
(T) 9426229671",02792 220849,6th & 7th July 2018,NO
31,32.0,"School of Nursing, Netra Chikitsa Trust, Radhika General Hospital, Chital Road, Amreli - 365 601",Amreli,2009,SFI,30,40,--,--,--,--,--,dr.arpanjani@gmail.com,"02792-220620
","9537137516
(T) 9978966629
",02792-223316,04-05/06/2014,YES
32,33.0,"Shri K. M. Borisagar School of Nursing Institute, At: Khambha, Jafrabad Road, Dist: Amreli – 365 650",Amreli,2014,SFI,30,--,--,--,--,--,--,kmschoolkhambha66@gmail.com,9426666659,"7567660255
(T) 9924774570",,16-17/05/2016,NO
33,34.0,"ANM School, S.S. Hospital, Petlad ",Anand,2008,GOV,20,--,--,--,--,--,--,anm.petlad@gmail.com,02697 226339,,02697 226339,12-13/05/2014,YES
34,35.0,"Cambay General Hospital Nursing School, At: Khambhat, Bethak Road, Dist: Anand",Anand,2012,SFI,30,--,--,--,--,--,--,cghns2013@gmail.com,02698 226255         ,"9879444223
(T)9825098689 ",,18-19/06/2014,YES
35,36.0,"College/ School of Nursing, Zydus Hospital & Health Care Pvt. Ltd. Nr. Indira Gandhi Statue, Anand Labhvel Road, Anand – 388 001",Anand,2012,SFI,--,40,40,--,--,--,--,sonprincipal@zydushospitals.com,"02692 619724
          619723                ","9687638965
(A)8980027552",02692 619523  ,24th & 25th May 2018,NO
36,37.0,"Knowledge Institute of  Nursing, Nr- S.P.University Sport Complex,  Bakrol- Vadtal Road, Bakrol, Anand-388315",Anand,2016,SFI,--,40,60,--,--,--,--,kinb201617@gmal.com,02692-239246,"9825617861
(T) 8511150444 ",02692 239248,16-17/05/2017,NO
37,38.0,"Manikaka Topawala Institute of Nursing, At: Changa, Tal: Petlad, Dist: Anand",Anand,2009,SFI,--,40,60,--,20,--,--,anilsharma.nur@charusat.ac.in,02697 265201,"8140364743.
(T) 9825303420", 02697 265007,06-07/05/2015,NO
38,39.0,"Ratibhai Prabhudas Patel Nursing College, (Pramukh Swami School of Nursing), C/o D. M. Arts & S. S. Patel Commerce College, Ode, Dist: Anand ",Anand,2011,SFI,--,50,40,--,--,--,--,lrppnc@gmail.com,"02692 282004 
    ",(T) 7990888275,,20th & 21st July 2018,NO
39,40.0,"Shree G. H. Patel College of Nursing, Shri Krishna Hospital, At: Karamsad, Dist: Anand",Anand,1985,SFI,--,25,40,--,--,--,--,ghpsngnm@charutarhealth.org www.charutarhealth.org,"02692- 228541, 
","9879096343
(T) 02692 228790", 02692 223466,27-28/06/2017,NO
40,41.0,"Vatsalya Institute of Nursing, Katakpur, Khambhat, Dist: Anand",Anand,2018,SFI,--,30,30,--,--,--,--,"vmdonga90@gmail.com,
vatsalyavidyalaya@gmail.com",02698-223217,9265357970,,2nd & 3rd July 2018,NO
41,42.0,"Vinayaka Institute of Nursing, “Pranami Bhavan”, Vadtal-Vidhyanagar Road, At: & Post: Bakrol ,Tal: & Dist : Anand",Anand,2011,SFI,50,60,60,30,10,--,--,vinayakanursing@yahoo.in,"9099943700 
","9099943703
(T) 9099943701
                      02",,09-10/06/2017,NO
42,43.0,"ANM School, Cottage Hospital, At: Bhiloda, Dist: Aravalli",Aravali,2008,GOV,20,--,--,--,--,--,--,"fhwbhiloda@yahoo.com
fhwbhiloda@gmail.com","02771 232488
",,02771 232341,14-15/05/2014,YES
43,44.0,"Akshar Nursing School, Akshar Medical &ducation Trust, 10-Mazum Nagar Society, Meghraj Road, Modasa, Dist : Arvalli",Aravali,2018,SFI,30,40,50,--,--,--,--,aksharmedicaltrust@gmail.com,9428773136,"9024158741
(T) 9428773136",,2nd & 3rd July 2018,NO
44,45.0,"Akshar School of Nursing, Samaj Seva Trust, R. G. Barot College Campus, To: Bhiloda, Dist: Sabarkantha",Aravali,2009,SFI,30,40,40,--,--,--,--,samajsevatrust@rediffmail.com,9426060803,"02771-234477
(T) 9426060803",,2nd & 3rd July 2018,NO
45,46.0,"Aravalli Institute of Nursing, At: Juna Takhatpur - 383345, Tal: Malpur, Dist: Aravalli",Aravali,2017,SFI,40,40,--,--,--,--,--,aravalli.takhatpur@gmail.com,"9909967995
","9662948997
(T) 9426589363",,26th & 27th May 2018,NO
46,47.0,"Bhagyalaxmi College of Nursing, Sakaria-Malpur Road, Modasa,Dist: Aravalli",Aravali,2010,SFI,40,40,40,--,--,--,--,bhagyalaxmischoolofnursing@yahoo.co.in,"02774 241598
","9426364386
(T) 9879788057
       9428773136",02774  240345,14-15/05/2014,YES
47,48.0,"Kalajibhai R. Katara Nursing College, Shamlaji Pradesh Kelavani Mandal Shamlaji, At: & Post: Shamalaji, Tal: Bhiloda, Dist: Aravlli",Aravali,2018,SFI,--,40,40,--,--,--,--,krnc2018@gmail.com,02771 24069  ,"9723555921
(T) 9429239166",,4th & 5th July 2018,NO
48,49.0,"Krishna Nursing School, At: & Post: Gajan, Shamlaji Road, Modasa, Dist: Aravalli ",Aravali,2018,SFI,30,30,--,--,--,--,--,krishnanursingcollege2018@gmail.com,9879788057,"9499557008
(T) 9879788057         ",,4th & 5th July 2018,NO
49,50.0,"Mahavir College of Nursing, At: Vatrak, Tal: Bayad, Dist: SK",Aravali,2008,SFI,20,50,30,30,--,--,--,dhjoshi21@yahoo.com,"02779 221115
9426379511  ","9429723016 
(T)9426571642",02779-222001,21-22/07/2017,NO
50,51.0,"Mother Care Institute of Nursing, Shri Complex, Lunawada Road, Malpur, Dist: Aravalli",Aravali,2018,SFI,--,30,--,--,--,--,--,mothercaremalpur@gmail.com,02773 224040,"9998812888
(T) 9662884339",,6th & 7th July 2018,NO
51,52.0,"School of Nursing, Civil Hospital, Palanpur",Banaskantha,"1987,
Re-2006",GOV,20,20,--,--,--,--,--,"anm.palanpur@gmail.com
pgnmpalanpur@gmail.com",02742 255622 ,,02742 252652,05-06/05/2014,YES
52,53.0,"Bharat Nursing College, Bharat Education Trust, Rasana – Mota, Tal: Deesa, Dist: Banbaskantha",Banaskantha,2018,SFI,30,30,30,--,--,--,--,betsbnc2018@gmail.com,02744-263600 ,"7567014237
(T) 9924579745",,4th & 5th July 2018,NO
53,54.0,"Gujarat Institue of Nursing, L & M Complex, Nr. Deepak Hotel,  Highway Road, Deesa, Tal: Banaskantha  -385 535",Banaskantha,2014,SFI,50,30,--,--,--,--,--,gindeesa711@gmail.com,02744 231725  ,"9998020711
9512571300",,6th & 7th July 2018,NO
54,55.0,"Shri Krishna Institute of Nursing, Nr. Jalaram Gaushala , S. R. Petrol Pump, AT: Bhabhar, Dist: Banaskantha",Banaskantha,2017,SFI,60,50,50,--,--,--,--,skinbhabhar@gmail.com,9512017493,"9913999075
(T) 9512017491",079 26441413,2nd & 3rd June 2018,NO
55,56.0,"School of Nursing, Civil Hospital, Bharuch",Bharuch,"1986,
Re-2005",GOV,20,20,--,--,--,--,--,anm.bharuch@gmail.com,02642 222984,,02642 241759,14-15/05/2014,YES
56,57.0,"Shri Nyalkaran Nursing College, At: Piraman, Tal: Ankleshwar, Dist: Bharuch",Bharuch,2018,SFI,35,--,--,--,--,--,--,ds.shital@gmail.com,8140478999,"8238840364
(T)-9879578999",,6th & 7th July 2018,NO
57,58.0,"Takshila Nursing College, Sitaral Seva Trust, Opp. Govt. I.T.I. Valia-Netrang Road, At: Valia-393125, Bharuch",Bharuch,2018,SFI,30,40,30,--,--,--,--,takshashilanursing@gmail.com,02765-222385,"9898035864
(T) 9898035864 ",,30th & 31st May 2018,NO
58,59.0,"Welfare Institute of Nursing, Welfare Complex, Bharuch- Karmad Road,Bharuch",Bharuch,2007,SFI,30,30,30,20,--,--,--,2012winm@gmail.com    ,"02642 244449, 
02642 241044
                 
","6352192573
(T) 9512030301  
",,2017-01-15 00:00:00,NO
59,60.0,"Government College of Nursing, Sir T. Hospital, Bhavnagar",Bhavnagar,1950,GOV,--,50,60,--,--,--,--,gconbhav2010@yahoo.com,0278-2521599,,0278-2521599,15-16/04/2015,NO
60,61.0,"Excel School of Nursing, Plot No.883, Diamond Chowk, Mahila College Campus, Bhavnagar",Bhavnagar,2008,SFI,20,40,--,--,--,--,--,excelschoolofnursing@gmail.com,"0278- 2201303
","9825359974
(T) 9828221976",0278- 2201303,17-18/04/2015,NO
61,62.0,"Hanumant School of Nursing, Hanumant Hospital, Nesvad-Devaliya Baypass, At: Mahuva, Dist: Bhavnagar – 364 290",Bhavnagar,2008,SFI,--,30,--,--,--,--,--,nursingschool@hanumanthospital.com,"02844 224444
","9427752203
9265344799
(T) 9408706171",,15-16/04/2015,NO
62,63.0,"Sahjanad Institute of Nursing, Gogha Road, Akhwada, Bhavnagar",Bhavnagar,2009,SFI,30,40,50,20,--,--,--,snursingcollege.bhavnagar184@gmail.com,"0278 2563289
                   84","9099985485
(T) 9375760066",,05-06/05/2014,YES
63,64.0,"Smt. P. J. Institute of Nursing, Plot No. 134-135, Sardar Patel-2 Society, Iscon Club Road, Nr. Jewels Circle, Bhavnagar - 364 003",Bhavnagar,2018,SFI,40,40,--,--,--,--,--,pjinstituteofnursing@gmail.com,9537917070,"9537727070
(T) 9099927575",,20th & 21st July 2018,NO
64,65.0,"Shree Dharmabhakti Nursing School, Gadhada Road, At: Botad",Botad,2013,SFI,30,--,--,--,--,--,--,"botadswagurukul@yahoo.in 
dharmbhaktinursingcollege@gmail.com ",02849 251810,"7405107072
(T) 9925224149",02849 242970,19-20/05/2014,YES
65,66.0,"School of Nursing, CHC & Referal Hospital, Chhotaudepur",Chhota-Udepur,2008,GOV,20,40,--,--,--,--,--,anm.chhotaudaipur@gmail.com,02669 232366,,,24th & 25th May 2018,NO
66,67.0,"Adivasi Institute of Nursing, At: & Post: Pavi Jetpur, Dist: Chhota Udepur",Chhota-Udepur,2015,SFI,40,30,--,--,--,--,--,adivasiinstitute@gmail.com,02664  243585,"9723571399
(T)9825031179   ",02664 243585,1st & 2nd June 2018,NO
67,68.0,"ANM School, Shree  J. S. Chauhan Hospital, Devgadhbaria, Dist: Dahod",Dahod,2008,GOV,20,--,--,--,--,--,--,anm.devgadhbaria@gmail.com,02678 221457,,02678 221457,14-15/05/2014,YES
68,69.0,"School of Nursing, Zydus Medical College & Hospital, General Hospital, Station Road, Dahod - 389 151",Dahod,2008,GOV,20,30,--,--,--,--,--,anm.dahod@gmail.com,02673 241416,9978337360,02673 246548,16-17/05/2014,YES
69,70.0,"Rajkrupa Institute of Nursing, Mahila Gramodhyog & Shishu Vikas Seva Trust, Raj Arcade, Nr. Garbada Chowkdi, National Highway No. 59, Dahod -389151",Dahod,2018,SFI,--,40,50,--,--,--,--,mgsvt.dahod.2017@gmail.com,9755085617,"7972181569
(T)8200215617",,,NO
70,71.0,"S. R. Kadkia School of Nursing/ Shashikala Dhansukhlal College of Nursing, Urban Bank Hospital Campus, At: Raliyati, Dahod - 389 151",Dahod,2002,SFI,30,50,40,30,--,--,--,srknsg_school@rediffmail.com,"02673-245048
            221824
","9427148326
9687044586
(T) 9426327700",,4th & 5th July 2018,NO
71,72.0,"Smt. C. S. Bhabhor Nursing School, At: & Post: Singvad(Pisoi), Tal:Limkheda, Dist: Dahod",Dahod,2017,SFI,--,30,--,--,--,--,--,csbhabhornursingcollege@gmail.com,9427069637,"9427069637
(T) 8758085636       ",02677 230722,2nd & 3rd July 2018,NO
72,73.0,"School of Nursing, General Hospital, Ahwa",Dang,2008,GOV,20,40,--,--,--,--,--,fhwschoolahwa@yahoo.com anm.ahwadang@gmail.com,02631-220035,,,24th & 25th May 2018,NO
73,74.0,"Shagun Institute of Nursing, Bangala Wadi, At: Khambhalia, Dist: Devbhumi Dwarka",Dwarka,2017,SFI,--,40,--,--,--,--,--,shaguninstituteofnursing@rediffmail.com palashjadafva@gmail.com,02833 232038           ,"8141509231
(T) 9898275263  ",02833 232038           ,6th & 7th July 2018,NO
74,75.0,"Shree Divine Instiute of Nursing, At: & Post: Dharampur, Tal: Jamkhambhaliya, Dist: Devbhumi Dwarka",Dwarka,2017,SFI,20,50,--,--,--,--,--,shreedivinenursing11@gmail.com pvkandoriya@gmail.com dineshahir1977@gmai.com,02833 235194,"9428727878
(T) 9712637979",,20th & 21st July 2018,NO
75,76.0,"A. K. Patel School of Nursing, Village: Karai, Sardar Patel Ring Road, At: & Post: Valad, Tal: & Dist: Gandhinagar",Gandhinagar,2011,SFI,--,40,40,--,--,--,--,indubahensevatrust @gmail.com hareshbhai.trivedi@yahoo.com     hareshbhai12012@gmail.com," 9825131094  

","7043245566
(T) 9824012012     
",,30th & 31st May 2018,NO
76,77.0,"Ananya School  of Nursing, Ahmedabad Mehsana National Highway,  KIRC Campus, At : Kolal, Dist : Gandhinagar",Gandhinagar,2016,SFI,--,70,70,--,--,--,--,dinarj1975@gmail.com info@kirc.ac.in   principal.nursing@kirc.ac.in,"9512747901 
","9925033760
(T) 9909996701",,11th & 12th June 2018,NO
77,78.0,"Apollo Institute of Nursing, Apollo Hospital, Plot No. 1/A, Bhat GIDC Astate, Gandhinagar  -382428",Gandhinagar,2009,SFI,--,--,60,--,--,--,--,"principalnursing@apolloahd.com
",079-66701874,"7698815182
9723708416
9979535900",079-23969209,21-22/08/2017,NO
78,79.0,"Arihant Institute of Nursing, G. P. Jain Charitable Trust, Bhoyan Rathod, Opp. IFFCO, Adajan - Kalol Highway Road, Gandhinagar - 382420",Gandhinagar,2018,SFI,--,40,40,--,--,--,--,"anjalpatel48@gmail.com
princeadi1990@gmail.com","9428753376
9978955811","9998812888
(T) 9825076721",,26th & 27th June 2018,NO
79,80.0,"Chanchalben Mafatlal Patel College of Nursing, Civil Hospital Campus,Sector – 12, Gandhinagar - 382012",Gandhinagar,2008,SFI,20,50,60,30,18,--,--,cmpnursingcollege@gmail.com,079  23246606,9723985977,079 23246560,29th &30th June 2018,NO
80,81.0,"Chaudhari Institute Of Nursing, Opp- S.T.depot, Sector – 7, Gandhinagar.",Gandhinagar,2016,SFI,--,40,50,--,--,--,--,chaudhari.nursing@gmail.com,079-23224065,"9913383081
(T) 9879055655                    ",079-23229833,28th & 29th May 2018,NO
81,82.0,"Dr. B. R. Ambedkar College of Nursing, Nr. Nilimapark Society, B/h Swaminarayan Temple, Vasna-Rathod Gam Road, Dehgam, G’nagar",Gandhinagar,2009,SFI,30,50,50,--,5,--,--,"dehgam_nursing_college@yahoo.co.in
","02716  231660
","7878732526
(T) 9898083999",,29th &30th June 2018,NO
82,83.0,"JMD Insitute of Nursing, JMD Education Trust, Knowledge Corridor, Nr. PDPU, Raysan, Gandhinagar- 382007",Gandhinagar,2018,SFI,--,--,40,--,--,--,--,"jmd.nursing@gmail.com
",(M) 7227979896/97,(M) 7227979896/97,,25th & 26th June 2018,NO
83,84.0,"Manjushree Institute of Nursing Science, Goenka Hospital, Pethapur – Mahudi Road, Nr. GGS, Piplaj, Dist: Gandhinagar",Gandhinagar,2017,SFI,20,--,55,--,--,--,--,info@mins.org.in,079-232-728700   ,9727178823,,11th & 12th June 2018,NO
84,85.0,"Medilink Institute of Nursing Science
Sertha Road, Nr. Adalaj Cross Road, Uvarsad, 
Dist: Gandhinagar – 382 422",Gandhinagar,2012,SFI,--,50,30,--,--,--,--,nursingschoolmedilink@gmail.com,"079 4024 1000

","9925494847
(T)9825875854 ",,20th & 21st July 2018,NO
85,86.0,"Sahjanand College of Nursing, Ahmedabad - Kalol Highway, At: & Post: Zundal, Tal: &Dist: Gandhinagar ",Gandhinagar,2008,SFI,--,40,60,--,--,--,--,sahajanandcollegeofnursing@gmail.com,"9727544400,","9909009734
(T) 9825098987 ",,13-14/05/2016,NO
86,87.0,"Sanskar Tirth- Ajol, At: & Post: Anjol, Tal: Mansa, Dist: Gandhinagar",Gandhinagar,2010,SFI,30,--,--,--,--,--,--,sanskartirth.ajol@yahoo.com,02763 285435 ,"9979592075
(T)9825556982",02763 285615,27-28/06/2017,NO
87,88.0,"Shankarsinh Vaghela Bapu Institute of Nursing, Shankarsinh Vaghela Bapu Charitable Trust, Post: Vasan , Tal: & Dist: Gandhinagar",Gandhinagar,2017,SFI,20,--,40,--,--,--,--,director@bapugkv.ac.in,079-23976170,"8154067139
(T)9825193105",,31st and 1st June 2018,NO
88,89.0,"Shantiniketan School of Nursing, At: Padusma, Dist: Mansa, Gandhinagar",Gandhinagar,2012,SFI,30,--,40,--,--,--,--,shantiniketannursing2012@gmail.com,02763-287137,"8866071008
(T)8866071008
     9426620554 ",,26-27/05/2014,YES
89,90.0,"Sharda Institute of Nursing, At: Pethapur, Opp. Kailashdham, Pethapur - Mahudi Road, Dist: Gandhinagar",Gandhinagar,2013,SFI,--,50,--,--,--,--,--,shardainstituteofnursing@gmail.com,"079 30516181
                   82
                    83","9904115227
(T) 9099063147",,11-12/05/2016,NO
90,91.0,"Sharda Nursing College, At: & Post: Pansar, Tal: Kalol-382740",Gandhinagar,2011,SFI,--,40,40,--,--,--,--,shardanursing@gmail.com,"02764-288601/
                    02/
                     03
","8200911039
9924485701
(T) 9099948493 
",,12-13/05/2017,NO
91,92.0,"Shree Swaminarayan College of Nursing, Shree Swaminarayan Vishwamangal Gurukul,, At: Saij, Opp. Kalol G.I.D.C., Dist: Gandhinagar-382 721 ",Gandhinagar,2017,SFI,--,40,50,--,--,--,--,ssnckalol@gmail.com  ,9879614190,"9427483055
(T) 9879614190 ",,7th & 8th June 2018,NO
92,93.0,"Vraj Institute of Nursing Science & Research, At: & Post: Mota Chiloda, Nr. Bus Stand, Tal: & Dist: Gandhinagar",Gandhinagar,2012,SFI,20,20,--,--,--,--,--,"vrajinstitute@gmail.com
deepkumar_1965@gmail.com",079 23273030,"9499557005
(T)9879788057",079 23253030  ,27th & 28th June 2018,NO
93,94.0,"Shree Saraswati College of Nursing, Nr. Railway Station, At: & Post: Gir Gadhada, Tal: Una, Dist: Somanath -Gir – 362 530",Gir-Somnath ,2011,SFI,30,--,--,--,--,--,--,djoshi.gir@gmail.com,02875 222554,"9879576201
(T) 9824294700",02875 243201,11-12/07/2016,NO
94,95.0,"Somnath School of Nursing, Gohil ni khan, Veraval Road, Kodinar",Gir-Somnath ,2011,SFI,30,--,--,--,--,--,--,sect@rediffmail.com,"02795 223880,
           220520","7405678872
(T)9426915785",02795 220021,11-12/05/2016,NO
95,96.0,"ANM School, Divisional Training Center, At: Aliabada, Dist: Jamnagar ",Jamnagar,2011,GOV,20,--,--,--,--,--,--,"fhwtsaliyabada@yahoo.com
anm.aliyabada@gmail.com",0288 2882250,,,23-24/04/2015,NO
96,97.0,"Government College of Nursing, G. G. Hospital,Jamnagar",Jamnagar,1933,GOV,--,--,40,30,--,--,--,"
gconjam200813@gmail.com",0288-2541824,,0288-2679592,21-22/04/2015,NO
